clay,sand,bd,h333,h15000
46.0,21.0,1.296,0.39299999999999996,0.287
48.0,18.0,1.219,0.369,0.28600000000000003
45.0,22.0,1.225,0.396,0.31
44.0,24.0,1.1179999999999999,0.364,0.27899999999999997
43.0,30.0,1.2309999999999999,0.39899999999999997,0.304
46.0,24.0,1.09,0.368,0.26899999999999996
15.0,7.0,1.2209999999999999,0.386,0.297
48.0,21.0,1.325,0.423,0.317
48.0,22.0,1.146,0.40299999999999997,0.273
45.0,28.0,1.273,0.405,0.294
39.0,25.0,1.263,0.39399999999999996,0.287
45.0,30.0,1.354,0.377,0.292
46.0,28.0,1.31,0.374,0.302
46.0,28.0,1.3119999999999998,0.389,0.29600000000000004
47.0,21.0,1.4909999999999999,0.44,0.35
43.0,31.0,1.287,0.389,0.27699999999999997
46.0,26.0,1.301,0.40299999999999997,0.318
4.0,93.0,1.462,0.098,0.034
4.0,94.0,1.569,0.129,0.034
7.0,89.0,1.673,0.113,0.049
5.0,91.0,1.651,0.10400000000000001,0.045
9.0,87.0,1.403,0.069,0.052000000000000005
9.0,87.0,1.528,0.125,0.051
15.0,82.0,1.511,0.13,0.071
13.0,83.0,1.599,0.145,0.078
16.0,81.0,1.5619999999999998,0.142,0.075
16.0,82.0,1.516,0.142,0.064
2.0,94.0,1.4369999999999998,0.09699999999999999,0.023
2.0,96.0,1.4869999999999999,0.098,0.02
3.0,92.0,1.629,0.099,0.028999999999999998
4.0,92.0,1.633,0.1,0.028999999999999998
4.0,92.0,1.567,0.07400000000000001,0.031
4.0,92.0,1.568,0.08800000000000001,0.028999999999999998
5.0,91.0,1.56,0.10400000000000001,0.03
4.0,91.0,1.578,0.096,0.036000000000000004
8.0,84.0,1.5759999999999998,0.073,0.055999999999999994
7.0,87.0,1.54,0.094,0.051
4.0,94.0,1.595,0.086,0.034
4.0,93.0,1.604,0.067,0.021
4.0,94.0,1.636,0.057999999999999996,0.025
3.0,94.0,1.636,0.049,0.021
3.0,94.0,1.6219999999999999,0.059000000000000004,0.02
4.0,94.0,1.589,0.044000000000000004,0.024
6.0,91.0,1.493,0.06,0.031
7.0,90.0,1.597,0.09699999999999999,0.026000000000000002
4.0,92.0,1.531,0.076,0.018000000000000002
6.0,92.0,1.587,0.092,0.027999999999999997
17.0,53.0,1.338,0.305,0.138
19.0,50.0,1.318,0.33799999999999997,0.136
19.0,49.0,1.423,0.33299999999999996,0.156
23.0,44.0,1.432,0.308,0.166
24.0,43.0,1.4869999999999999,0.309,0.175
25.0,43.0,1.504,0.317,0.174
24.0,52.0,1.58,0.289,0.185
23.0,48.0,1.6340000000000001,0.35100000000000003,0.20199999999999999
23.0,52.0,1.59,0.31,0.17600000000000002
